handle,text,url
RooferXX,#Westminster  #Hail #Damage Licensed Specialist that work well with Ins. co. http://t.co/79Tlm5ja5v   #Roofing #Siding Claims made Simple ~,https://twitter.com/RooferXX/statuses/346209663265689600
RooferXX,#UnionBridge  #Hail #Damage Licensed Specialist that work well with Ins. co. http://t.co/79Tlm5ja5v   #Roofing #Siding Claims made Simple ~,https://twitter.com/RooferXX/statuses/346209589919875072
RooferXX,#NewWindsor  #Hail #Damage Licensed Specialist that work well with Ins. co. http://t.co/79Tlm5ja5v   #Roofing #Siding Claims made Simple ~,https://twitter.com/RooferXX/statuses/346209471825059840
